Order ID,Order Date,Ship Date,Ship Mode,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
ORD-10062,2023-07-18,2023-07-21,Standard Class,Corporate,Central,Michigan,Furniture,Bookcases,195.63,1,0.0,23.48
ORD-10063,2023-03-29,2023-04-05,Standard Class,Consumer,West,Washington,Office Supplies,Binders,27.89,1,0.0,7.81
ORD-10064,2025-05-30,2025-06-01,Second Class,Corporate,East,New York,Technology,Machines,1308.23,2,0.3,-78.49
ORD-10065,2025-11-21,2025-11-25,Standard Class,Corporate,West,Washington,Office Supplies,Art,229.26,7,0.0,64.19
ORD-10066,2025-10-27,2025-10-30,First Class,Home Office,West,Oregon,Furniture,Furnishings,987.47,6,0.2,-39.5
ORD-10067,2024-06-27,2024-06-29,Standard Class,Consumer,East,New Jersey,Office Supplies,Binders,295.18,9,0.0,82.65
ORD-10068,2025-10-29,2025-11-05,Standard Class,Corporate,West,Oregon,Office Supplies,Binders,21.03,1,0.5,-2.52
ORD-10069,2025-08-21,2025-08-26,Standard Class,Consumer,East,New Jersey,Furniture,Furnishings,2731.78,7,0.1,109.27
ORD-10070,2024-02-29,2024-03-06,Standard Class,Consumer,East,New York,Furniture,Furnishings,1008.34,5,0.5,-282.34
ORD-10071,2024-08-12,2024-08-18,Standard Class,Corporate,South,Georgia,Office Supplies,Paper,135.33,4,0.0,37.89
ORD-10072,2023-05-12,2023-05-18,First Class,Consumer,East,Massachusetts,Technology,Accessories,1938.79,3,0.15,116.33
ORD-10073,2023-03-03,2023-03-06,Second Class,Corporate,West,Washington,Office Supplies,Storage,246.8,7,0.4,-9.87
ORD-10074,2024-10-23,2024-10-29,Standard Class,Consumer,South,Tennessee,Office Supplies,Art,185.45,5,0.0,51.93
ORD-10075,2024-08-06,2024-08-13,Standard Class,Home Office,West,California,Office Supplies,Storage,279.7,7,0.0,78.32
ORD-10076,2023-02-26,2023-03-01,Standard Class,Consumer,Central,Texas,Office Supplies,Storage,194.3,4,0.1,38.86
ORD-10077,2024-06-27,2024-07-03,Second Class,Corporate,East,Pennsylvania,Furniture,Chairs,1473.39,7,0.1,58.94
ORD-10078,2024-01-15,2024-01-17,Second Class,Corporate,East,New York,Office Supplies,Binders,286.0,9,0.15,45.76
ORD-10079,2023-03-27,2023-03-29,Second Class,Home Office,Central,Ohio,Technology,Machines,1619.6,3,0.15,97.18
ORD-10080,2025-07-21,2025-07-28,Second Class,Home Office,West,Oregon,Technology,Phones,2857.32,4,0.1,285.73
ORD-10081,2024-07-18,2024-07-21,Standard Class,Corporate,West,Arizona,Furniture,Bookcases,2305.14,6,0.0,276.62
ORD-10082,2023-10-04,2023-10-05,Second Class,Consumer,West,Arizona,Office Supplies,Paper,38.23,1,0.2,4.59
ORD-10083,2023-02-09,2023-02-13,Standard Class,Consumer,West,Washington,Technology,Machines,402.83,1,0.15,24.17
ORD-10084,2024-01-21,2024-01-26,Standard Class,Home Office,East,New York,Office Supplies,Paper,213.39,7,0.1,42.68
ORD-10085,2023-08-10,2023-08-14,Same Day,Consumer,West,Washington,Office Supplies,Storage,36.54,1,0.0,10.23
ORD-10086,2024-09-19,2024-09-20,First Class,Home Office,West,Washington,Office Supplies,Storage,212.55,4,0.1,42.51
ORD-10087,2025-03-04,2025-03-06,Standard Class,Consumer,Central,Illinois,Office Supplies,Art,100.01,3,0.0,28.0
ORD-10088,2024-10-09,2024-10-14,Standard Class,Consumer,West,Washington,Office Supplies,Binders,362.49,6,0.3,14.5
ORD-10089,2025-07-01,2025-07-02,Second Class,Corporate,East,Pennsylvania,Office Supplies,Paper,235.14,9,0.1,47.03
ORD-10090,2023-02-22,2023-02-24,Second Class,Corporate,West,Washington,Office Supplies,Storage,257.3,9,0.1,51.46
ORD-10091,2023-06-07,2023-06-10,Standard Class,Consumer,Central,Illinois,Office Supplies,Art,288.69,5,0.3,11.55
ORD-10092,2025-10-05,2025-10-06,First Class,Consumer,Central,Texas,Technology,Machines,1891.1,3,0.0,340.4
ORD-10093,2024-12-07,2024-12-08,Standard Class,Corporate,West,California,Technology,Phones,3438.84,9,0.15,206.33
ORD-10094,2023-07-01,2023-07-02,Standard Class,Corporate,West,Washington,Office Supplies,Art,70.49,3,0.3,2.82
ORD-10095,2025-09-18,2025-09-23,Same Day,Consumer,East,Pennsylvania,Technology,Accessories,3514.25,5,0.4,-492.0
ORD-10096,2023-12-01,2023-12-04,Standard Class,Corporate,South,North Carolina,Office Supplies,Binders,485.46,9,0.1,97.09
ORD-10097,2024-05-13,2024-05-18,First Class,Home Office,East,Massachusetts,Office Supplies,Storage,230.36,8,0.15,36.86
ORD-10098,2023-02-25,2023-02-28,First Class,Corporate,West,California,Furniture,Chairs,1414.15,7,0.15,0.0
ORD-10099,2023-09-19,2023-09-26,Second Class,Consumer,South,Georgia,Furniture,Furnishings,2165.98,7,0.0,259.92
ORD-10100,2025-12-07,2025-12-14,Second Class,Corporate,East,Pennsylvania,Office Supplies,Art,173.19,7,0.3,6.93
ORD-10101,2024-05-25,2024-05-30,Second Class,Corporate,East,Pennsylvania,Office Supplies,Paper,334.47,7,0.0,93.65
ORD-10102,2024-03-21,2024-03-26,Second Class,Consumer,Central,Michigan,Technology,Copiers,1667.14,6,0.2,33.34
ORD-10103,2023-04-02,2023-04-07,First Class,Consumer,East,Pennsylvania,Office Supplies,Binders,69.43,2,0.1,13.89
ORD-10104,2025-05-10,2025-05-17,Standard Class,Consumer,West,Oregon,Office Supplies,Binders,306.95,9,0.2,36.83
ORD-10105,2025-10-06,2025-10-07,Standard Class,Consumer,South,North Carolina,Office Supplies,Storage,296.34,9,0.1,59.27
ORD-10106,2023-01-16,2023-01-20,Second Class,Consumer,West,Oregon,Office Supplies,Binders,85.06,2,0.0,23.82
ORD-10107,2023-12-13,2023-12-17,Standard Class,Consumer,Central,Illinois,Technology,Phones,1073.02,2,0.3,-64.38
ORD-10108,2025-02-10,2025-02-15,Standard Class,Home Office,West,California,Office Supplies,Storage,314.09,9,0.15,50.25
ORD-10109,2025-03-27,2025-03-29,Standard Class,Consumer,South,North Carolina,Furniture,Bookcases,972.58,6,0.0,116.71
ORD-10110,2023-05-13,2023-05-17,Standard Class,Home Office,East,Pennsylvania,Office Supplies,Paper,101.07,3,0.1,20.21
ORD-10111,2025-03-23,2025-03-26,Standard Class,Corporate,South,Florida,Office Supplies,Art,283.52,6,0.3,11.34
ORD-10112,2023-10-16,2023-10-20,Second Class,Corporate,South,North Carolina,Office Supplies,Paper,106.96,2,0.1,21.39
ORD-10113,2025-08-31,2025-09-06,Second Class,Corporate,East,New York,Furniture,Tables,2256.27,6,0.1,90.25
ORD-10114,2025-08-23,2025-08-26,Standard Class,Home Office,South,Florida,Office Supplies,Art,238.44,5,0.3,9.54
ORD-10115,2025-03-05,2025-03-10,Second Class,Corporate,East,Pennsylvania,Office Supplies,Binders,248.83,7,0.5,-29.86
ORD-10116,2024-07-21,2024-07-27,Standard Class,Corporate,West,Arizona,Office Supplies,Binders,220.44,7,0.0,61.72
ORD-10117,2023-09-16,2023-09-21,Second Class,Consumer,West,Washington,Office Supplies,Storage,386.85,8,0.2,46.42
ORD-10118,2024-12-26,2024-12-29,First Class,Corporate,East,New Jersey,Office Supplies,Storage,70.82,2,0.0,19.83
ORD-10119,2025-10-15,2025-10-18,Standard Class,Consumer,West,Washington,Office Supplies,Paper,92.75,4,0.1,18.55
ORD-10120,2025-03-04,2025-03-07,Same Day,Consumer,East,New York,Office Supplies,Paper,161.46,3,0.0,45.21
ORD-10121,2025-05-06,2025-05-09,Standard Class,Consumer,East,New Jersey,Technology,Copiers,565.23,1,0.15,33.91
ORD-10122,2023-12-18,2023-12-25,Standard Class,Consumer,Central,Michigan,Furniture,Tables,1760.91,4,0.2,-70.44
ORD-10123,2025-09-09,2025-09-15,Standard Class,Consumer,East,New Jersey,Office Supplies,Binders,166.05,7,0.15,26.57
ORD-10124,2023-09-23,2023-09-24,Standard Class,Consumer,West,Washington,Technology,Machines,2327.31,4,0.0,418.92
ORD-10125,2023-12-27,2024-01-02,Same Day,Consumer,West,Washington,Office Supplies,Art,119.3,3,0.0,33.4
ORD-10126,2023-02-10,2023-02-16,Standard Class,Consumer,West,Arizona,Office Supplies,Art,172.7,5,0.0,48.36
ORD-10127,2023-03-04,2023-03-09,Standard Class,Consumer,East,Massachusetts,Office Supplies,Paper,226.39,5,0.15,36.22
ORD-10128,2023-08-16,2023-08-20,First Class,Corporate,Central,Illinois,Office Supplies,Binders,221.37,5,0.3,8.85
ORD-10129,2024-06-26,2024-06-29,Standard Class,Corporate,West,Arizona,Technology,Accessories,1897.09,3,0.2,37.94
ORD-10130,2024-06-02,2024-06-09,First Class,Corporate,Central,Ohio,Technology,Accessories,4838.42,8,0.2,96.77
ORD-10131,2024-06-17,2024-06-19,Second Class,Consumer,East,New York,Furniture,Chairs,2532.33,6,0.15,0.0
ORD-10132,2023-01-24,2023-01-26,Standard Class,Consumer,Central,Ohio,Technology,Accessories,1203.24,3,0.0,216.58
ORD-10133,2023-05-17,2023-05-24,Second Class,Consumer,East,Massachusetts,Technology,Phones,4015.14,6,0.0,722.73
ORD-10134,2023-11-23,2023-11-24,First Class,Corporate,West,Washington,Furniture,Tables,3012.8,8,0.3,-361.54
ORD-10135,2025-06-30,2025-07-02,Standard Class,Consumer,West,Washington,Office Supplies,Paper,306.66,5,0.3,12.27
ORD-10136,2023-07-27,2023-07-30,Second Class,Home Office,East,New York,Furniture,Bookcases,938.03,3,0.3,-112.56
ORD-10137,2025-02-20,2025-02-25,Second Class,Corporate,West,Oregon,Office Supplies,Paper,173.07,3,0.3,6.92
ORD-10138,2024-04-22,2024-04-25,First Class,Home Office,East,Massachusetts,Technology,Accessories,282.29,1,0.3,-16.94
ORD-10139,2023-08-20,2023-08-21,First Class,Consumer,Central,Ohio,Furniture,Furnishings,405.39,1,0.15,0.0
ORD-10140,2024-09-06,2024-09-09,First Class,Home Office,Central,Illinois,Technology,Phones,4835.77,7,0.0,870.44
ORD-10141,2025-05-12,2025-05-15,Standard Class,Consumer,East,Massachusetts,Furniture,Tables,3686.56,9,0.15,0.0
ORD-10142,2023-07-08,2023-07-12,Standard Class,Consumer,West,California,Technology,Machines,4681.76,9,0.4,-655.45
ORD-10143,2023-04-16,2023-04-20,Second Class,Home Office,Central,Michigan,Furniture,Bookcases,1187.01,5,0.15,-0.0
ORD-10144,2025-09-22,2025-09-28,Standard Class,Home Office,South,Tennessee,Technology,Accessories,3302.56,7,0.15,198.15
ORD-10145,2025-05-09,2025-05-11,Second Class,Consumer,Central,Michigan,Office Supplies,Paper,151.36,3,0.1,30.27
ORD-10146,2023-02-03,2023-02-07,Standard Class,Consumer,East,Pennsylvania,Office Supplies,Art,167.83,7,0.2,20.14
ORD-10147,2023-02-15,2023-02-17,Standard Class,Consumer,East,Pennsylvania,Office Supplies,Storage,368.22,8,0.0,103.1
ORD-10148,2024-09-17,2024-09-22,Second Class,Corporate,West,California,Furniture,Furnishings,1785.01,8,0.1,71.4
ORD-10149,2023-06-16,2023-06-17,Standard Class,Corporate,Central,Texas,Technology,Machines,4686.7,9,0.4,-656.14
ORD-10150,2024-07-07,2024-07-12,Second Class,Home Office,West,California,Office Supplies,Binders,430.21,8,0.0,120.46
ORD-10151,2025-11-13,2025-11-14,Standard Class,Home Office,East,New Jersey,Furniture,Tables,1633.1,6,0.5,-457.27
ORD-10152,2023-05-04,2023-05-05,First Class,Consumer,South,Florida,Office Supplies,Art,387.34,8,0.0,108.46
ORD-10153,2025-12-05,2025-12-08,Standard Class,Consumer,West,Oregon,Office Supplies,Binders,346.87,7,0.15,55.5
ORD-10154,2025-03-22,2025-03-26,Standard Class,Home Office,Central,Ohio,Furniture,Chairs,169.26,1,0.3,-20.31
ORD-10155,2025-10-24,2025-10-29,Standard Class,Consumer,South,North Carolina,Office Supplies,Binders,168.8,3,0.0,47.26
ORD-10156,2025-07-15,2025-07-17,First Class,Home Office,South,Tennessee,Office Supplies,Art,368.54,6,0.3,14.74
ORD-10157,2024-10-22,2024-10-29,Standard Class,Consumer,West,Washington,Office Supplies,Storage,143.27,6,0.0,40.12
ORD-10158,2025-02-18,2025-02-22,Standard Class,Corporate,Central,Ohio,Technology,Phones,5333.42,9,0.0,960.02
ORD-10159,2023-12-20,2023-12-22,Standard Class,Consumer,South,Tennessee,Office Supplies,Storage,234.3,5,0.1,46.86
ORD-10160,2023-04-08,2023-04-10,Standard Class,Home Office,East,New York,Office Supplies,Paper,131.98,3,0.1,26.4
ORD-10161,2023-05-11,2023-05-12,First Class,Corporate,West,California,Office Supplies,Binders,29.95,1,0.0,8.39
ORD-10162,2023-08-04,2023-08-08,Same Day,Consumer,West,Washington,Office Supplies,Paper,201.17,4,0.1,40.23
ORD-10163,2023-02-24,2023-02-28,First Class,Corporate,West,Oregon,Furniture,Tables,555.44,2,0.5,-155.52
ORD-10164,2024-02-22,2024-02-28,First Class,Corporate,Central,Illinois,Office Supplies,Binders,120.04,4,0.1,24.01
ORD-10165,2025-12-25,2025-12-30,Standard Class,Corporate,East,New York,Office Supplies,Binders,181.11,3,0.15,28.98
ORD-10166,2024-10-09,2024-10-13,First Class,Consumer,South,Florida,Technology,Phones,4268.29,7,0.1,426.83
ORD-10167,2023-10-02,2023-10-08,Standard Class,Corporate,West,Oregon,Technology,Machines,369.18,1,0.3,-22.15
ORD-10168,2025-01-25,2025-01-26,Standard Class,Consumer,South,Florida,Office Supplies,Paper,195.77,9,0.15,31.32
ORD-10169,2025-11-22,2025-11-26,Standard Class,Home Office,East,New Jersey,Technology,Accessories,1282.41,2,0.3,-76.94
ORD-10170,2024-01-21,2024-01-26,Standard Class,Corporate,East,Pennsylvania,Furniture,Chairs,517.54,3,0.1,20.7
ORD-10171,2025-09-22,2025-09-23,First Class,Consumer,West,Arizona,Furniture,Chairs,2002.72,7,0.0,240.33
ORD-10172,2023-12-31,2024-01-07,Standard Class,Home Office,West,California,Office Supplies,Paper,162.81,6,0.3,6.51
ORD-10173,2025-06-25,2025-06-27,First Class,Corporate,South,Georgia,Office Supplies,Binders,74.13,2,0.4,-2.97
ORD-10174,2024-08-28,2024-08-31,Standard Class,Consumer,West,California,Furniture,Tables,2623.29,7,0.0,314.79
ORD-10175,2023-01-14,2023-01-21,Second Class,Consumer,South,Florida,Office Supplies,Paper,499.6,8,0.0,139.89
ORD-10176,2024-05-30,2024-06-04,Standard Class,Consumer,East,New York,Office Supplies,Art,319.86,8,0.5,-38.38
ORD-10177,2023-01-11,2023-01-18,First Class,Corporate,East,Pennsylvania,Furniture,Chairs,1050.44,4,0.1,42.02
ORD-10178,2023-07-22,2023-07-29,Standard Class,Corporate,West,Washington,Furniture,Furnishings,1091.44,3,0.3,-130.97
ORD-10179,2024-09-22,2024-09-25,Second Class,Home Office,East,New Jersey,Office Supplies,Paper,55.18,1,0.0,15.45
ORD-10180,2024-10-23,2024-10-29,Standard Class,Consumer,East,Massachusetts,Furniture,Tables,3069.18,8,0.3,-368.3
ORD-10181,2023-01-24,2023-01-31,Standard Class,Consumer,Central,Texas,Office Supplies,Binders,127.14,6,0.3,5.09
ORD-10182,2023-06-10,2023-06-13,Standard Class,Consumer,Central,Michigan,Office Supplies,Storage,226.75,4,0.0,63.49
ORD-10183,2023-10-31,2023-11-05,Standard Class,Corporate,South,North Carolina,Furniture,Bookcases,2571.56,8,0.1,102.86
ORD-10184,2025-02-01,2025-02-04,Second Class,Corporate,East,Pennsylvania,Office Supplies,Paper,391.93,9,0.0,109.74
ORD-10185,2025-12-07,2025-12-08,Standard Class,Consumer,East,New York,Office Supplies,Binders,452.85,8,0.1,90.57
ORD-10186,2025-02-04,2025-02-06,Same Day,Consumer,East,New Jersey,Technology,Phones,2242.24,4,0.1,224.22
ORD-10187,2024-09-18,2024-09-20,Standard Class,Consumer,South,North Carolina,Technology,Copiers,756.39,2,0.2,15.13
ORD-10188,2025-07-03,2025-07-06,Standard Class,Corporate,South,North Carolina,Office Supplies,Binders,187.32,5,0.1,37.46
ORD-10189,2025-12-04,2025-12-05,Standard Class,Corporate,East,Pennsylvania,Office Supplies,Binders,151.75,4,0.0,42.49
ORD-10190,2025-06-25,2025-07-02,Standard Class,Consumer,West,Washington,Technology,Machines,3251.82,5,0.1,325.18
ORD-10191,2024-01-18,2024-01-21,Standard Class,Home Office,East,Pennsylvania,Technology,Phones,2988.6,7,0.15,179.32
ORD-10192,2023-01-21,2023-01-24,Standard Class,Consumer,East,Massachusetts,Office Supplies,Art,33.42,1,0.15,5.35
ORD-10193,2024-01-15,2024-01-19,Second Class,Corporate,Central,Texas,Technology,Machines,1567.02,4,0.15,94.02
ORD-10194,2025-01-22,2025-01-24,First Class,Consumer,South,Tennessee,Technology,Accessories,982.99,3,0.4,-137.62
ORD-10195,2023-06-04,2023-06-07,Second Class,Corporate,South,Tennessee,Furniture,Tables,332.25,1,0.15,-0.0
ORD-10196,2024-11-21,2024-11-25,Standard Class,Home Office,West,California,Technology,Phones,1114.17,4,0.1,111.42
ORD-10197,2025-07-08,2025-07-13,Same Day,Corporate,West,Oregon,Technology,Accessories,3713.74,8,0.3,-222.82
ORD-10198,2025-08-15,2025-08-18,Standard Class,Consumer,South,Florida,Office Supplies,Art,163.35,6,0.1,32.67
ORD-10199,2023-07-11,2023-07-18,First Class,Consumer,East,Pennsylvania,Office Supplies,Storage,205.85,9,0.0,57.64
ORD-10200,2024-11-08,2024-11-11,Same Day,Home Office,East,Pennsylvania,Office Supplies,Storage,197.03,6,0.15,31.52
ORD-10201,2025-12-09,2025-12-13,Standard Class,Consumer,West,Arizona,Furniture,Furnishings,1742.16,8,0.0,209.06
ORD-10202,2024-07-31,2024-08-05,Standard Class,Consumer,East,New York,Office Supplies,Storage,88.56,2,0.1,17.71
ORD-10203,2025-12-20,2025-12-23,Standard Class,Consumer,East,Massachusetts,Technology,Accessories,285.06,1,0.0,51.31
ORD-10204,2025-09-08,2025-09-09,Standard Class,Consumer,East,Massachusetts,Office Supplies,Storage,138.98,6,0.0,38.91
ORD-10205,2024-06-10,2024-06-14,Standard Class,Home Office,West,Washington,Technology,Phones,3660.2,6,0.15,219.61
ORD-10206,2024-06-21,2024-06-28,Standard Class,Consumer,West,Washington,Office Supplies,Art,360.87,6,0.2,43.3
ORD-10207,2024-07-30,2024-08-05,Standard Class,Corporate,Central,Texas,Technology,Accessories,5810.73,9,0.2,116.21
ORD-10208,2023-07-05,2023-07-06,Standard Class,Consumer,Central,Ohio,Office Supplies,Binders,124.03,4,0.0,34.73
ORD-10209,2025-10-31,2025-11-05,Standard Class,Consumer,South,Georgia,Office Supplies,Binders,245.49,4,0.4,-9.82
ORD-10210,2025-03-16,2025-03-19,Second Class,Consumer,Central,Illinois,Office Supplies,Binders,119.29,3,0.0,33.4
ORD-10211,2024-02-18,2024-02-24,Second Class,Home Office,Central,Michigan,Office Supplies,Paper,215.34,4,0.3,8.61
ORD-10212,2025-07-18,2025-07-20,Standard Class,Home Office,Central,Michigan,Technology,Phones,2238.94,7,0.5,-492.57
ORD-10213,2023-07-31,2023-08-06,Standard Class,Consumer,East,Pennsylvania,Furniture,Tables,2836.25,8,0.0,340.35
ORD-10214,2023-10-20,2023-10-26,Second Class,Consumer,Central,Illinois,Furniture,Bookcases,1279.55,4,0.5,-358.27
ORD-10215,2025-11-11,2025-11-12,Second Class,Consumer,West,Washington,Furniture,Furnishings,1202.82,7,0.0,144.34
ORD-10216,2024-09-03,2024-09-06,Standard Class,Corporate,East,New Jersey,Furniture,Bookcases,176.15,1,0.0,21.14
ORD-10217,2025-07-09,2025-07-11,Standard Class,Consumer,South,Florida,Furniture,Chairs,2118.0,7,0.0,254.16
ORD-10218,2024-12-18,2024-12-19,Standard Class,Consumer,Central,Illinois,Office Supplies,Paper,68.66,2,0.1,13.73
